1,1,1,2024-03-13 12:39:46.027488
1,2,2,2024-03-13 12:39:46.027516
1,3,3,2024-03-13 12:39:46.027521
1,4,4,2024-03-13 12:39:46.027524
1,5,5,2024-03-13 12:39:46.027528
1,6,6,2024-03-13 12:39:46.027531
1,7,7,2024-03-13 12:39:46.027534
1,8,8,2024-03-13 12:39:46.027538
1,9,9,2024-03-13 12:39:46.027541
1,10,10,2024-03-13 12:39:46.027545
1,11,11,2024-03-13 12:39:46.027548
1,12,12,2024-03-13 12:39:46.027551
1,13,13,2024-03-13 12:39:46.027555
1,14,14,2024-03-13 12:39:46.027558
1,15,15,2024-03-13 12:39:46.027561
1,16,16,2024-03-13 12:39:46.027564
1,17,17,2024-03-13 12:39:46.027567
1,18,18,2024-03-13 12:39:46.027571
1,19,19,2024-03-13 12:39:46.027574
1,20,20,2024-03-13 12:39:46.027577
1,21,21,2024-03-13 12:39:46.027580
1,22,22,2024-03-13 12:39:46.027584
1,23,23,2024-03-13 12:39:46.027587
1,24,24,2024-03-13 12:39:46.027590
1,25,25,2024-03-13 12:39:46.027593
1,26,26,2024-03-13 12:39:46.027597
1,27,27,2024-03-13 12:39:46.027600
1,28,28,2024-03-13 12:39:46.027603
